x,y,actionList,predictionsList
6,7,1,"[-18.61101889125135, -18.400066663670074, -18.81819476910508]"
6,8,2,"[-19.930007280549123, -19.807510397146082, -19.744534067701405]"
6,9,0,"[-20.87291291467089, -21.54437384541515, -21.038498960003693]"
6,10,2,"[-21.28258395444071, -21.321921121228613, -21.25790077563478]"
6,11,1,"[-21.689447254541193, -21.302686210602385, -21.723082031657157]"
6,12,1,"[-20.863442945749718, -20.813063609882825, -20.930065391795615]"
6,13,1,"[-19.766190312833164, -19.557620267288904, -19.599402533441996]"
6,14,2,"[-18.758660350610935, -18.60955336668337, -18.559426560464654]"
6,15,2,"[-16.501537527131482, -16.359017152178932, -16.145513526424153]"
6,16,0,"[-14.044531163030118, -14.2619244066758, -14.148112682758061]"
6,17,2,"[-12.97199740135575, -12.904126285706568, -12.84555370798247]"
6,18,2,"[-9.947082526735255, -7.038199395722216, -4.857022339129226]"
6,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
7,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
7,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
7,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
7,3,2,"[-8.90214173484738, -8.562352731909293, -8.334578711764657]"
7,4,0,"[-11.15278214083309, -11.244561829803281, -11.269116733307623]"
7,5,0,"[-12.150756709466076, -12.539505345327658, -12.633409664532945]"
7,6,1,"[-14.553841141019173, -14.412998941956419, -14.462161001874808]"
7,7,0,"[-15.688144864441833, -16.11616745648901, -16.027438852341106]"
7,8,2,"[-17.17371107730449, -16.833713781025665, -16.805080396863907]"
7,9,1,"[-18.003812119112485, -17.772673874111373, -17.85715087172633]"
7,10,2,"[-17.979119868202442, -17.946648404387478, -17.839573131641185]"
7,11,0,"[-17.949820261489567, -18.119658661240955, -18.14109153739964]"
7,12,2,"[-17.80523131874704, -17.84166024049103, -17.761482784254678]"
7,13,0,"[-17.169052529433937, -17.307553237967266, -17.310767251895015]"
7,14,2,"[-15.603420709745215, -15.618786080828823, -15.142342615011755]"
7,15,2,"[-14.074915598173845, -14.207613356196747, -13.94311411480281]"
7,16,2,"[-13.028242693383373, -12.925771253025683, -12.901868003497906]"
7,17,2,"[-11.46369984934166, -11.216864897319295, -10.884230662658906]"
